Date;Open;High;Low;Close;Adj Close;Volume
2001-11-28;31,649999618530273;31,950000762939453;30,854999542236328;30,854999542236328;17,430564880371094;15635600
2001-11-29;31,149999618530273;31,985000610351562;31,125;31,799999237060547;17,964406967163086;15955400
2001-11-30;31,049999237060547;31,315000534057617;30,649999618530273;30,690000534057617;17,337352752685547;17048800
2001-12-03;30,5;30,889999389648438;30,2450008392334;30,71500015258789;17,351463317871094;10781000
2001-12-04;30,649999618530273;31,200000762939453;30,200000762939453;31,170000076293945;17,6085147857666;8414200
2001-12-05;31,450000762939453;31,5049991607666;31,049999237060547;31,049999237060547;17,711183547973633;9795200
2001-12-06;31,174999237060547;31,610000610351562;30,9950008392334;31,5;17,96786880493164;9255400
2001-12-07;31,475000381469727;31,674999237060547;31,225000381469727;31,59000015258789;18,019201278686523;6423800
2001-12-10;31,350000381469727;31,59000015258789;30,704999923706055;30,860000610351562;17,602807998657227;7960000
2001-12-11;30,774999618530273;31,524999618530273;30,549999237060547;31,225000381469727;17,810998916625977;9805200
2001-12-12;31,100000381469727;31,440000534057617;31,010000228881836;31,440000534057617;17,933643341064453;7157200
2001-12-13;31,09000015258789;31,21500015258789;30,725000381469727;30,81999969482422;17,579984664916992;10265200
2001-12-14;30,524999618530273;30,950000762939453;30,5;30,709999084472656;17,517244338989258;9289000
2001-12-17;30,799999237060547;31,625;30,524999618530273;31,625;18,03916358947754;11429000
2001-12-18;31,59000015258789;31,825000762939453;31,364999771118164;31,540000915527344;17,990692138671875;8762400
2001-12-19;31,424999237060547;32,08000183105469;31,30500030517578;31,7549991607666;18,113323211669922;8569600
2001-12-20;31,739999771118164;31,975000381469727;31,5049991607666;31,549999237060547;17,996389389038086;9630400
2001-12-21;31,524999618530273;31,600000381469727;30,799999237060547;30,799999237060547;17,56858253479004;15204200
2001-12-24;31,125;31,200000762939453;30,885000228881836;30,899999618530273;17,625614166259766;3354400
2001-12-26;31,024999618530273;31,559999465942383;30,979999542236328;31,18000030517578;17,785348892211914;4360600
2001-12-27;31,200000762939453;31,75;31,200000762939453;31,475000381469727;17,953601837158203;6295600
2001-12-28;31,600000381469727;32,060001373291016;31,5;31,764999389648438;18,119028091430664;7869400
2001-12-31;31,875;31,875;31,40999984741211;31,475000381469727;17,953601837158203;5397400
